Timestamp,mempool-count
2016-11-18 18:45:00,2679
2016-11-19 17:45:00,6236
2016-11-20 16:45:00,8005
2016-11-21 15:45:00,18299.5
2016-11-22 14:45:00,45546
2016-11-23 13:45:00,38680.5
2016-11-24 12:45:00,53502.5
2016-11-25 11:45:00,19189
2016-11-26 10:45:00,13182.5
2016-11-27 09:45:00,2777
2016-11-28 08:45:00,2199.5
2016-11-29 07:45:00,8707.5
2016-11-30 06:45:00,7192
2016-12-01 05:45:00,2912.5
2016-12-02 04:45:00,32558
2016-12-03 03:45:00,18429.5
2016-12-04 02:45:00,3150
2016-12-05 01:45:00,3203.5
2016-12-06 00:45:00,39524
2016-12-06 23:45:00,12966
2016-12-07 22:45:00,2924
2016-12-08 21:45:00,4500.5
2016-12-09 20:45:00,10626.5
2016-12-10 19:45:00,7215.5
2016-12-11 18:45:00,2484.5
2016-12-12 17:45:00,14144.5
2016-12-13 16:45:00,17503.5
2016-12-14 15:45:00,7280.5
2016-12-15 14:45:00,19863
2016-12-16 13:45:00,6790.5
2016-12-17 12:45:00,3895
2016-12-18 11:45:00,6171.5
2016-12-19 10:45:00,6291
2016-12-20 09:45:00,5654
2016-12-21 08:45:00,10586
2016-12-22 07:45:00,5532
2016-12-23 06:45:00,3124
2016-12-24 05:45:00,5854
2016-12-25 04:45:00,3707
2016-12-26 03:45:00,2997.5
2016-12-27 02:45:00,5676
2016-12-28 01:45:00,7587
2016-12-29 00:45:00,3946
2016-12-29 23:45:00,3856
2016-12-30 22:45:00,9084
2016-12-31 21:45:00,5448
2017-01-01 20:45:00,2117
2017-01-02 19:45:00,8156.5
2017-01-03 18:45:00,8949
2017-01-04 17:45:00,4961
2017-01-05 16:45:00,35709.5
2017-01-06 15:45:00,24228
2017-01-07 14:45:00,17335
2017-01-08 13:45:00,3164.5
2017-01-09 12:45:00,5046
2017-01-10 11:45:00,14340.5
2017-01-11 10:45:00,7554.5
2017-01-12 09:45:00,6334.5
2017-01-13 08:45:00,2974.5
2017-01-14 07:45:00,3537
2017-01-15 06:45:00,2159.5
2017-01-16 05:45:00,3167.5
2017-01-17 04:45:00,3011
2017-01-18 03:45:00,1988
2017-01-19 02:45:00,6480
2017-01-20 01:45:00,6380
2017-01-21 00:45:00,1606.5
2017-01-21 23:45:00,990.5
2017-01-22 22:45:00,1236.5
2017-01-23 21:45:00,34826.5
2017-01-24 20:45:00,61305.5
2017-01-25 19:45:00,27160
2017-01-26 18:45:00,15132.5
2017-01-27 17:45:00,4470.5
2017-01-28 16:45:00,5219
2017-01-29 15:45:00,11329
2017-01-30 14:45:00,5359
2017-01-31 13:45:00,14105
2017-02-01 12:45:00,12487.5
2017-02-02 11:45:00,17574
2017-02-03 10:45:00,62073.5
2017-02-04 09:45:00,15624.5
2017-02-05 08:45:00,5163.5
2017-02-06 07:45:00,7838.5
2017-02-07 06:45:00,52929
2017-02-08 05:45:00,39211.5
2017-02-09 04:45:00,23733
2017-02-10 03:45:00,10002
2017-02-11 02:45:00,9169
2017-02-12 01:45:00,4898
2017-02-13 00:45:00,5646.5
2017-02-13 23:45:00,12511.5
2017-02-14 22:45:00,12016.5
2017-02-15 21:45:00,10203.5
2017-02-16 20:45:00,49809.5
2017-02-17 19:45:00,24656.5
2017-02-18 18:45:00,7557.5
2017-02-19 17:45:00,17139.5
2017-02-20 16:45:00,39926.5
2017-02-21 15:45:00,58845
2017-02-22 14:45:00,82807
2017-02-23 13:45:00,97900
2017-02-24 12:45:00,57186.5
2017-02-25 11:45:00,30725
2017-02-26 10:45:00,9131.5
2017-02-27 09:45:00,6574.5
2017-02-28 08:45:00,25601
2017-03-01 07:45:00,35065
2017-03-02 06:45:00,36133
2017-03-03 05:45:00,77559
2017-03-04 04:45:00,56562.5
2017-03-05 03:45:00,45760
2017-03-06 02:45:00,45532.5
2017-03-07 01:45:00,55927.5
2017-03-08 00:45:00,57865
2017-03-08 23:45:00,58248.5
2017-03-09 22:45:00,42416.5
2017-03-10 21:45:00,44064.5
2017-03-11 20:45:00,17879.5
2017-03-12 19:45:00,28153
2017-03-13 18:45:00,40625.5
2017-03-14 17:45:00,20166.5
2017-03-15 16:45:00,24348
2017-03-16 15:45:00,29442
2017-03-17 14:45:00,18578
2017-03-18 13:45:00,3690
2017-03-19 12:45:00,3250
2017-03-20 11:45:00,7078.5
2017-03-21 10:45:00,1896.5
2017-03-22 09:45:00,9389.5
2017-03-23 08:45:00,9924.5
2017-03-24 07:45:00,8078
2017-03-25 06:45:00,4219.5
2017-03-26 05:45:00,3396.5
2017-03-27 04:45:00,4696
2017-03-28 03:45:00,13764.5
2017-03-29 02:45:00,18338.5
2017-03-30 01:45:00,9364
2017-03-31 00:45:00,4580.5
2017-03-31 23:45:00,19714
2017-04-01 22:45:00,8350
2017-04-02 21:45:00,3010
2017-04-03 20:45:00,9860.5
2017-04-04 19:45:00,42549.5
2017-04-05 18:45:00,16385.5
2017-04-06 17:45:00,11883.5
2017-04-07 16:45:00,11582
2017-04-08 15:45:00,6793
2017-04-09 14:45:00,4270
2017-04-10 13:45:00,12806
2017-04-11 12:45:00,8256.5
2017-04-12 11:45:00,14167.5
2017-04-13 10:45:00,20478
2017-04-14 09:45:00,54081
2017-04-15 08:45:00,21506
2017-04-16 07:45:00,6307
2017-04-17 06:45:00,871
2017-04-18 05:45:00,14722.5
2017-04-19 04:45:00,12238
2017-04-20 03:45:00,15682
2017-04-21 02:45:00,21788.5
2017-04-22 01:45:00,9090.5
2017-04-23 00:45:00,4254.5
2017-04-23 23:45:00,4266
2017-04-24 22:45:00,58266.5
2017-04-25 21:45:00,62217
2017-04-26 20:45:00,41443.5
2017-04-27 19:45:00,60705
2017-04-28 18:45:00,71638.5
2017-04-29 17:45:00,18322.5
2017-04-30 16:45:00,16797.5
2017-05-01 15:45:00,14427
2017-05-02 14:45:00,15662
2017-05-03 13:45:00,38056.5
2017-05-04 12:45:00,41685
2017-05-05 11:45:00,88356
2017-05-06 10:45:00,79625.5
2017-05-07 09:45:00,32979.5
2017-05-08 08:45:00,28485.5
2017-05-09 07:45:00,43867.5
2017-05-10 06:45:00,81051
2017-05-11 05:45:00,99909.5
2017-05-12 04:45:00,152459.5
2017-05-13 03:45:00,158187.5
2017-05-14 02:45:00,140170
2017-05-15 01:45:00,71524
2017-05-16 00:45:00,92966
2017-05-16 23:45:00,166408
2017-05-17 22:45:00,171491
2017-05-18 21:45:00,173974
2017-05-19 20:45:00,178640
2017-05-20 19:45:00,164376.5
2017-05-21 18:45:00,132204.5
2017-05-22 17:45:00,155162.5
2017-05-23 16:45:00,143162
2017-05-24 15:45:00,152637
2017-05-25 14:45:00,141655.5
2017-05-26 13:45:00,158056
2017-05-27 12:45:00,145676.5
2017-05-28 11:45:00,87542
2017-05-29 10:45:00,83101
2017-05-30 09:45:00,73491
2017-05-31 08:45:00,80866.5
2017-06-01 07:45:00,75496
2017-06-02 06:45:00,81148.5
2017-06-03 05:45:00,64614
2017-06-04 04:45:00,61628
2017-06-05 03:45:00,45552
2017-06-06 02:45:00,49000.5
2017-06-07 01:45:00,68361.5
2017-06-08 00:45:00,46212.5
2017-06-08 23:45:00,32690
2017-06-09 22:45:00,32755
2017-06-10 21:45:00,29565
2017-06-11 20:45:00,29908
2017-06-12 19:45:00,43668.5
2017-06-13 18:45:00,55996
2017-06-14 17:45:00,58898
2017-06-15 16:45:00,36545
2017-06-16 15:45:00,19663.5
2017-06-17 14:45:00,23451.5
2017-06-18 13:45:00,12708
2017-06-19 12:45:00,15956
2017-06-20 11:45:00,10541.5
2017-06-21 10:45:00,18590
2017-06-22 09:45:00,24349.5
2017-06-23 08:45:00,6703.5
2017-06-24 07:45:00,8706
2017-06-25 06:45:00,4465.5
2017-06-26 05:45:00,6013
2017-06-27 04:45:00,8501
2017-06-28 03:45:00,6706
2017-06-29 02:45:00,8371.5
2017-06-30 01:45:00,22095
2017-07-01 00:45:00,5219
2017-07-01 23:45:00,3054.5
2017-07-02 22:45:00,1476
2017-07-03 21:45:00,2570.5
2017-07-04 20:45:00,6935.5
2017-07-05 19:45:00,12032.5
2017-07-06 18:45:00,7434.5
2017-07-07 17:45:00,8129
2017-07-08 16:45:00,4129
2017-07-09 15:45:00,3828
2017-07-10 14:45:00,1225.5
2017-07-11 13:45:00,5982
2017-07-12 12:45:00,7051.5
2017-07-13 11:45:00,5443
2017-07-14 10:45:00,12063
2017-07-15 09:45:00,12871.5
2017-07-16 08:45:00,5263.5
2017-07-17 07:45:00,6783
2017-07-18 06:45:00,5717
2017-07-19 05:45:00,11382.5
2017-07-20 04:45:00,5855.5
2017-07-21 03:45:00,21278.5
2017-07-22 02:45:00,6653
2017-07-23 01:45:00,1862
2017-07-24 00:45:00,5944.5
2017-07-24 23:45:00,3495
2017-07-25 22:45:00,8675
2017-07-26 21:45:00,3944.5
2017-07-27 20:45:00,2695
2017-07-28 19:45:00,5756.5
2017-07-29 18:45:00,4438
2017-07-30 17:45:00,2201
2017-07-31 16:45:00,8118
2017-08-01 15:45:00,502.5
2017-08-02 14:45:00,7341
2017-08-03 13:45:00,5834
2017-08-04 12:45:00,4835
2017-08-05 11:45:00,4544.5
2017-08-06 10:45:00,2092.5
2017-08-07 09:45:00,9644
2017-08-08 08:45:00,5936.5
2017-08-09 07:45:00,11833
2017-08-10 06:45:00,18006
2017-08-11 05:45:00,23234
2017-08-12 04:45:00,30543.5
2017-08-13 03:45:00,6977.5
2017-08-14 02:45:00,8903
2017-08-15 01:45:00,37378
2017-08-16 00:45:00,40795
2017-08-16 23:45:00,49885
2017-08-17 22:45:00,21564.5
2017-08-18 21:45:00,34909
2017-08-19 20:45:00,17075
2017-08-20 19:45:00,19085.5
2017-08-21 18:45:00,50284.5
2017-08-22 17:45:00,88855
2017-08-23 16:45:00,42547
2017-08-24 15:45:00,57343
2017-08-25 14:45:00,88613.5
2017-08-26 13:45:00,77345
